Function Name,Exclusive Samples,Exclusive Samples %,Inclusive Samples,Inclusive Samples %,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"Client81.MainPage.AppBarButtonBookmarks_Click",0,0.00,116,10.22,0,0,0,0,
"Client81.MainPage.AppBarButtonSettings_Click",0,0.00,34,3.00,417,13,417,45,
"Client81.MainPage.AppBarNewTab_Click",0,0.00,1,0.09,432,17,432,71,
"Client81.MainPage.AppBarOldTab_Click",0,0.00,2,0.18,443,17,443,71,
"Client81.MainPage.Browse",0,0.00,59,5.20,0,0,0,0,
"Client81.MainPage.Connect",0,0.00,3,0.26,17,17,17,121,
"Client81.MainPage.Connect",0,0.00,2,0.18,68,17,68,133,
"Client81.MainPage.Connect",0,0.00,1,0.09,71,17,71,119,
"Client81.MainPage.Connect",0,0.00,1,0.09,72,17,72,133,
"Client81.MainPage.CurrentWebView",0,0.00,1,0.09,125,13,125,65,
"Client81.MainPage.InitializeComponent",0,0.00,2,0.18,68,13,68,204,
"Client81.MainPage.OnNavigatedTo",0,0.00,6,0.53,153,21,153,45,
"Client81.MainPage.ProgressStart",0,0.00,4,0.35,190,13,190,68,
"Client81.MainPage.resize",0,0.00,25,2.20,0,0,0,0,
"Client81.MainPage.TextBoxUrl_KeyUp",0,0.00,72,6.34,0,0,0,0,
"Client81.MainPage.WebViewContent_ContentLoading",0,0.00,3,0.26,452,17,452,71,
"Client81.MainPage.WebViewContent_ContentLoading",0,0.00,6,0.53,469,9,469,10,
"Client81.MainPage.WebViewContent_NavigationCompleted",0,0.00,1,0.09,395,13,395,28,
"Client81.MainPage.WebViewContent_NavigationStarting",0,0.00,1,0.09,406,9,406,10,
"Client81.MainPage.WriteOnTile",0,0.00,7,0.62,111,13,111,44,
"Client81.MainPage.WriteOnTile",0,0.00,2,0.18,114,13,114,67,
"Client81.MainPage.WriteOnTile",0,0.00,5,0.44,117,13,117,72,
"Client81.MainPage.WriteOnTile",0,0.00,6,0.53,120,13,120,78,
"Client81.MainPage.WriteOnTile",0,0.00,1,0.09,121,9,121,10,
"Client81.MainPage+<AppBarButtonBookmarks_Click>d__8.MoveNext",0,0.00,1,0.09,232,13,232,78,
"Client81.MainPage+<AppBarButtonBookmarks_Click>d__8.MoveNext",0,0.00,104,9.16,233,13,233,68,
"Client81.MainPage+<AppBarButtonBookmarks_Click>d__8.MoveNext",0,0.00,34,3.00,249,13,249,66,
"Client81.MainPage+<AppBarButtonBookmarks_Click>d__8.MoveNext",0,0.00,1,0.09,256,17,256,57,
"Client81.MainPage+<Browse>d__1f.MoveNext",0,0.00,1,0.09,336,13,336,88,
"Client81.MainPage+<Browse>d__1f.MoveNext",0,0.00,1,0.09,337,13,337,29,
"Client81.MainPage+<Browse>d__1f.MoveNext",0,0.00,8,0.70,339,13,339,47,
"Client81.MainPage+<Browse>d__1f.MoveNext",0,0.00,1,0.09,343,20,343,55,
"Client81.MainPage+<resize>d__15.MoveNext",0,0.00,1,0.09,271,13,271,72,
"Client81.MainPage+<resize>d__15.MoveNext",0,0.00,11,0.97,272,13,272,77,
"Client81.MainPage+<resize>d__15.MoveNext",0,0.00,1,0.09,275,13,275,49,
"Client81.MainPage+<resize>d__15.MoveNext",0,0.00,2,0.18,287,9,287,10,
"Client81.MainPage+<TextBoxUrl_KeyUp>d__5.MoveNext",0,0.00,55,4.85,203,17,203,32,
"Client81.MainPage+<TextBoxUrl_KeyUp>d__5.MoveNext",0,0.00,5,0.44,205,9,205,10,
"Client81.PageBookmarks..ctor",0,0.00,1,0.09,35,13,35,40,
"Client81.PageBookmarks..ctor",0,0.00,17,1.50,36,13,36,64,
"Client81.PageBookmarks.Connect",0,0.00,2,0.18,19,17,19,137,
"Client81.PageBookmarks.Connect",0,0.00,1,0.09,36,17,36,121,
"Client81.PageBookmarks.Connect",0,0.00,1,0.09,38,17,38,112,
"Client81.PageBookmarks.ListBoxHistory_DoubleTapped",0,0.00,12,1.06,74,9,74,10,
"Client81.Program.<Main>b__0",0,0.00,4,0.35,23,62,23,71,
"Client81.Program.Main",0,0.00,36,3.17,24,9,24,10,
"Client81.SettingsFlyoutGeneral..ctor",0,0.00,2,0.18,24,13,24,40,
"Client81.SettingsFlyoutGeneral..ctor",0,0.00,31,2.73,25,13,25,91,
"Client81.SettingsFlyoutGeneral.InitializeComponent",0,0.00,30,2.64,36,13,36,127,
